Symbol,Buy_price,Net_wealth,Profit_ratio,Name,Sector
KHC,32.65999984741211,0.014997482299786924,0.04592003175093488,Kraft Heinz Co,Consumer Staples
KIM,18.350000381469727,-0.6400003433227575,-3.487740218082204,Kimco Realty,Real Estate
KLAC,119.70999908447266,42.770019531249986,35.72802594465778,KLA Corporation,Information Technology
KMB,142.33999633789062,-11.540008544921875,-8.10735481370105,Kimberly-Clark,Consumer Staples
KMI,20.32999992370605,0.27000045776367365,1.3280888282190115,Kinder Morgan,Energy
KMX,63.33000183105469,30.369998931884773,47.955152461392245,Carmax Inc,Consumer Discretionary
KO,46.56999969482422,9.320003509521484,20.012891497951433,Coca-Cola Company,Consumer Staples
KR,25.729999542236328,4.530002593994144,17.605917895793393,Kroger Co.,Consumer Staples
KSS,52.31999969482422,-14.90000152587891,-28.478596354718444,Kohl's Corp.,Consumer Discretionary
KSU,124.5,38.1100158691406,30.61045451336594,Kansas City Southern,Industrials
K,56.61000061035156,6.5200004577637,11.517400437143731,Kellogg Co.,Consumer Staples
LB,27.3799991607666,-7.3700008392334055,-26.917461888728035,L Brands Inc.,Consumer Discretionary
LDOS,86.30999755859375,14.45999908447267,16.753562152120477,Leidos Holdings,Information Technology
LEG,39.04999923706055,-0.9100036621093714,-2.33035513415767,Leggett & Platt,Consumer Discretionary
LEN,53.06999969482422,6.8699951171875,12.945157634620285,Lennar Corp.,Consumer Discretionary
LHX,193.19000244140625,0.5500030517577841,0.2846954008008762,L3Harris Technologies,Industrials
LH,166.1999969482422,-29.660003662109375,-17.845971243516964,Laboratory Corp. of America Holding,Health Care
LIN,192.8699951171875,15.559982299804744,8.06760133443801,Linde plc,Materials
LKQ,27.209999084472656,8.539999008178707,31.385517440359067,LKQ Corporation,Consumer Discretionary
LLY,114.87000274658205,16.139991760253906,14.050658461165705,Lilly (Eli) & Co.,Health Care
LMT,302.3500061035156,65.18002319335938,21.557804490681466,Lockheed Martin Corp.,Industrials
LNC,62.84000015258789,-22.74999618530272,-36.20304922033936,Lincoln National,Financials
LNT,47.04999923706055,9.720001220703125,20.65887646826322,Alliant Energy Corp,Utilities
LOW,104.66000366210938,22.610008239746094,21.603293950515802,Lowe's Cos.,Consumer Discretionary
LRCX,193.7400054931641,72.5599975585938,37.452253278249245,Lam Research,Information Technology
LUV,54.86000061035156,-11.859992980957045,-21.618652659510136,Southwest Airlines,Industrials
LVS,63.29999923706055,-0.8900032043457102,-1.4060082386614563,Las Vegas Sands,Consumer Discretionary
LW,73.37000274658203,17.889999389648438,24.38326116933647,Lamb Weston Holdings Inc,Consumer Staples
LYB,91.94000244140624,-2.229999542236328,-2.425494325669087,LyondellBasell,Materials
LYV,67.48000335693361,-18.790000915527322,-27.845287464107155,Live Nation Entertainment,Communication Services
L,52.31000137329102,-9.459999084472656,-18.08449404725659,Loews Corp.,Financials
MAA,136.55000305175778,-15.450004577636733,-11.314539899190319,Mid-America Apartments,Real Estate
MAR,136.30000305175778,-4.480010986328196,-3.286875191504568,Marriott Int'l.,Consumer Discretionary
MAS,39.13999938964844,12.46999740600586,31.859983649626383,Masco Corp.,Industrials
MA,278.57000732421875,41.83999633789068,15.019562493385887,Mastercard Inc.,Information Technology
MCD,197.5399932861328,3.740005493164091,1.8932902805897975,McDonald's Corp.,Consumer Discretionary
MCHP,94.23999786376952,-8.220001220703182,-8.722412358907059,Microchip Technology,Information Technology
MCK,125.1999969482422,-4.449981689453097,-3.5542985606403197,McKesson Corp.,Health Care
